fat,sugar,brown sugar,egg,vanilla extract,flour,baking soda,salt,choc chips,rating
0.2559770645,0.1279885322,0.1279885322,0.05119541289,0.00511954128,0.2559770645,0.00255977064,0.00255977064,0.1706496,3
0.10957223,0.1460816971,0.164358345,0.043828892,0,0.383502805,0.0043828892,0.0021914446,0.1460816971,3
0.07522643155,0.1002918786,0.1504528631,0.06018114524,0.00601811452,0.3009057262,0.00300905726,0.00300905726,0.3009057262,3
0.1409781061,0.1057335796,0.1057335796,0.02819562122,0.002819562122,0.328944215,0.002819562122,0.002819562122,0.2819562122,3
0.1673640167,0.1673640167,0.1673640167,0.06694560669,0.00669456066,0.2510460251,0.00334728033,0.00251046025,0.1673640167,3
0.1538461538,0.07692307692,0.1153846154,0.03076923076,0.003076923076,0.3076923077,0.00307692307,0.00153846153,0.3076923077,3
0.1550387597,0.1162790698,0.1162790698,0.06201550387,0.00310077519,0.2325581395,0.00310077519,0.00155038759,0.3100775194,3
0.1454207021,0.1454207021,0.1454207021,0.05816828083,0.005816828083,0.2908414042,0.00290841404,0.1090655266,0.09693744001,3
0.1592356688,0.1592356688,0.1592356688,0.03184713375,0.00636942675,0.3184713376,0.00318471337,0.00318471337,0.1592356688,3.5
0.1383125864,0.1037344398,0.1037344398,0.02766251728,0.00276625172,0.3457814661,0.00138312586,0,0.2766251729,3.5
0.1340482574,0.100536193,0.100536193,0.05361930294,0.00268096514,0.3351206434,0.00268096514,0.00268096514,0.2680965147,3.5
0.1426533524,0.1069900143,0.1069900143,0.0285306704,0.00285306704,0.3209700428,0.00285306704,0.00285306704,0.2853067047,3.5
0.1483019428,0.1112264571,0.1112264571,0.02966038855,0.002966038855,0.2966038855,0.01483019428,0.00192792525,0.2966038855,3.5
0.1072961373,0.1072961373,0.1072961373,0.02861230329,0.002861230329,0.3576537911,0.002861230329,0,0.2861230329,3.5
0.1369863014,0.1369863014,0.06849315068,0.0273972602,0.00547945205,0.3424657534,0.00273972602,0.00547945205,0.2739726027,4
0.09437167339,0.09437167339,0.125816315,0.0754973387,0.00754973387,0.471858367,0.00377486693,0.00094371673,0.125816315,4
0.1666666667,0.125,0.125,0.03333333333,0.003333333333,0.375,0.003333333333,0.00166666666,0.1666666667,4
0.1661129568,0.1245847176,0.1245847176,0.03322259136,0.00664451827,0.3737541528,0.00332225913,0.00166112956,0.1661129568,4
0.1713032753,0.1141907633,0.1141907633,0.03426065506,0.00685213101,0.3854323695,0.00171303275,0.00085651637,0.1713032753,4
0.1419930139,0.09465254309,0.09465254309,0.05679720557,0.0283986027,0.3194842814,0.00283986027,0.00283986027,0.283986027,4
0.1547987616,0.1160990712,0.1160990712,0.06191950464,0.006191950464,0.3482972136,0.00309597523,0.0386996904,0.1547987616,4
0.2128891614,0.1703113291,0,0.06812453164,0.00340622658,0.4257783228,0.00340622658,0.00255466993,0.113529532,4
0.1342281879,0.1342281879,0.2684563758,0.05369127516,0.00268456375,0.2684563758,0.00134228187,0.00268456375,0.1342281879,4
0.1723187207,0.08615936035,0.1148676592,0.06892748828,0.00689274882,0.4307968018,0.00344637441,0.0017231872,0.1148676592,4.5
0.3319502075,0.08298755186,0.1244813278,0.03319502074,0.00663900414,0.3319502075,0.00331950207,0.00248962655,0.08298755186,4.5
0.1649266901,0.08246334504,0.1236950176,0.06597067603,0.0082463345,0.32985338,0.0032985338,0.0016492669,0.2198967559,4.5
0.1261034048,0.1261034048,0.1261034048,0.05044136191,0.00126103404,0.2522068096,0.00252206809,0,0.315258512,4.5
0.1412110258,0.1059082693,0.09413126976,0.0564844103,0,0.4236330773,0.1059082693,0.00211816538,0.07060551287,4.5
0.1622955077,0.08114775383,0.1081861854,0.06491820306,0.0064918203,0.486886523,0.0064918203,0.00243443261,0.08114775383,4.5
0.2790178571,0.05580357142,0.1116071429,0.04464285714,0.00446428571,0.2790178571,0.00223214285,0,0.2232142857,5
0.1607717042,0.1205787781,0.1205787781,0.06430868167,0.00643086816,0.3617363344,0.00321543408,0.00160771704,0.1607717042,5
0.1152073733,0.08640552995,0.1152073733,0.0460829493,0.00230414746,0.2880184332,0.00115207373,0,0.3456221198,5
0.1344086022,0.1008064516,0.1008064516,0.05376344086,0.00268817204,0.3024193548,0.00268817204,0.03360215053,0.2688172043,5
0.1543209877,0.07716049382,0.1543209877,0.06172839506,0.0061728395,0.3858024691,0.00308641975,0.00308641975,0.1543209877,5
0.1547987616,0.0773993808,0.1547987616,0.06191950464,0.00309597523,0.2321981424,0.00309597523,0.00309597523,0.3095975232,5
0.09596928982,0.03838771593,0.1919385797,0.03838771593,0.00767754318,0.3358925144,0.00191938579,0.00191938579,0.2879078695,5
0.1306629314,0.05806660673,0.1306629314,0.03484344838,0.00348434483,0.2903609084,0.00174217241,0.00174217241,0.3484344839,5